# ACEMD Molecular Dynamics Version [3212u2]
# (c) 2009-2015 Acellera Ltd. http://www.acellera.com
# See License Agreement for terms and conditions of use
# or write to support@acellera.com
#
# Licensed by Acellera Ltd (http://www.acellera.com)
# No floating licenses available.
# License file locations:
# /shared/acemd//license.dat
# /home/sdoerr/.acellera/license.dat
# LICENSE INFORMATION:
# Holder  : Gianni De Fabritiis
# Site    : Universitat Pompeu Fabra
# Expiry  : Sun Jan 22 01:00:00 2017
# GPUS    : 4
#
# Running on host [loro.imim.es]
# MPI: Compiled against OpenMPI 1.2.4
# CUDA Synchronisation mode: SPIN
# SWAN: Created context 0 on GPU 0
# SWAN Device 0	:
#	Name		: GeForce GTX 780
#	ECC		: Disabled
#	Global mem	: 3071MB
#	Capability	: 3.5
#	PCI ID		: 0000:01:00.0
#	Device clock	: 993MHz
#	Memory clock	: 3004MHz
#	Memory width	: 384bit
# SWAN: Configuring Peer Access:
# -	
# SWAN device 0 is NVML device 0 with PCI-ID 0000:01:00.0 and serial [] 
# NVML : 0 : Fan 34%	 Temp 63C	 Mem Used 469MB Free 2601MB Total 3071MB
# NVML : 0 : Performance state 0
# Configuration [GeForce GTX 780] [350] [Linux]
#
# Cell dimension from XSC: 81.673126 75.819031 75.027573
# Amber: readparm : Reading parm file parameters
# PARM file in AMBER 7 format
# WARNING: Skipping unsupported PRMTOP section [ATOMIC_NUMBER]
# WARNING: Skipping unsupported PRMTOP section [SCEE_SCALE_FACTOR]
# WARNING: Skipping unsupported PRMTOP section [SCNB_SCALE_FACTOR]
# WARNING: Amber prmtop section [ATOMIC_NUMBER] is not used.
# WARNING: Amber prmtop section [SCEE_SCALE_FACTOR] is not used.
# WARNING: Amber prmtop section [SCNB_SCALE_FACTOR] is not used.
# WARNING: parameters.cpp, line 293: Encounter 10-12 H-bond term
# Amber parameter summary
# 51 Bonds    103 Angles 
# 48 Dihedral 0 Improper 0 crossterms 0 vdw 171 vdw_pairs
# Topology reports 42845 atoms
# -  There are 18 long-range exceptions
# -  There are 42 long-range exceptions
# There are 0 dummy (0 mass) atoms
# WARNING: Setting PME mesh dimensions: 82x76x76 using spacing of 1.00A
# There are 13199 waters in the system
# MSHAKE: 1600 bonds constrained
# MSHAKE: removing 1600 degrees of freedom (87338)
# There are 87338 degrees of freedom
# Setting velocity field T=298.000000K
#     Step	      Bond	     Angle	     Dihed	      Elec	       VDW	        PE	        KE	  External	     Total	      Temp	      Pres	   PresAve
         0	  805.4177	 1694.2542	 2293.4380	-150287.3237	17856.9793	-127637.2344	26007.8423	    0.0000	-101629.3921	  299.7033	    0.0000	    0.0000
# NVML : 0 : Fan 35%	 Temp 68C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
      1000	  758.7700	 1729.7596	 2294.2952	-150083.4277	17567.1852	-127733.4176	26041.0818	    0.0000	-101692.3358	  300.0863	    0.0000	    0.0000
# Simulation rate 121.67 (ave) 121.67 (inst) ns/day. Estimated completion Tue Oct 27 16:50:52 2015
# NVML : 0 : Fan 36%	 Temp 70C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
      2000	  739.9328	 1717.0248	 2256.3690	-149888.6892	17674.1557	-127501.2068	25752.7828	    0.0000	-101748.4241	  296.7641	    0.0000	    0.0000
# Simulation rate 125.92 (ave) 130.47 (inst) ns/day. Estimated completion Tue Oct 27 16:50:49 2015
# NVML : 0 : Fan 36%	 Temp 72C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
      3000	  735.9722	 1688.2940	 2280.7272	-149998.4178	17668.5082	-127624.9161	26011.3883	    0.0000	-101613.5278	  299.7441	    0.0000	    0.0000
# Simulation rate 127.52 (ave) 130.85 (inst) ns/day. Estimated completion Tue Oct 27 16:50:48 2015
# NVML : 0 : Fan 37%	 Temp 73C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
      4000	  717.4300	 1738.9712	 2265.4725	-150126.0016	17862.8666	-127541.2614	25850.5124	    0.0000	-101690.7489	  297.8903	    0.0000	    0.0000
# Simulation rate 128.35 (ave) 130.91 (inst) ns/day. Estimated completion Tue Oct 27 16:50:47 2015
# Saved restart file at 5000
# NVML : 0 : Fan 37%	 Temp 74C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
      5000	  749.6303	 1630.6010	 2282.2559	-150028.1283	17705.8456	-127659.7955	25834.7677	    0.0000	-101825.0278	  297.7088	    0.0000	    0.0000
# Simulation rate 128.83 (ave) 130.79 (inst) ns/day. Estimated completion Tue Oct 27 16:50:47 2015
# NVML : 0 : Fan 38%	 Temp 75C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
      6000	  767.3093	 1689.2182	 2301.6317	-150364.4069	17812.5703	-127793.6775	25883.3121	    0.0000	-101910.3654	  298.2682	    0.0000	    0.0000
# Simulation rate 129.17 (ave) 130.90 (inst) ns/day. Estimated completion Tue Oct 27 16:50:47 2015
# NVML : 0 : Fan 38%	 Temp 76C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
      7000	  735.0468	 1692.7463	 2277.0169	-150243.3156	17953.9640	-127584.5416	25920.9567	    0.0000	-101663.5849	  298.7020	    0.0000	    0.0000
# Simulation rate 129.43 (ave) 130.97 (inst) ns/day. Estimated completion Tue Oct 27 16:50:47 2015
# NVML : 0 : Fan 38%	 Temp 77C	 Mem Used 905MB Free 2166MB Total 3071MB
# NVML : 0 : Performance state 0
